OBJECTID,CSA2010,affordm10,affordm11,affordm12,affordm13,affordm14,affordm15,affordm16,affordm17,affordm18,affordm19,CSA2020,affordm20,Shape__Area,Shape__Length
43,Patterson Park North & East,36.4612511671335,35.1714550509731,36.4612511671335,33.0252100840336,27.7411,26.5911072362685,24.7058823529412,23.5386426049431,22.7561556791104,22.59363673,Patterson Park North & East,24.19928826,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,47.8260869565217,48.4745762711864,47.8260869565217,45.9251101321586,42.5885,36.8600682593857,35.5291576673866,28.9356984478935,28.3582089552238,27.21164614,Penn North/Reservoir Hill,27.46062992,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,42.9638854296389,42.1865348980852,42.9638854296389,50.2227880330999,46.9402,45.8176337603617,50.0400962309543,45.4466608846487,35.8949416342412,31.00936524,Pimlico/Arlington/Hilltop,32.97619048,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,30.5019305019305,29.2626728110599,30.5019305019305,41.2790697674419,43.0605,31.6770186335404,30.5949008498584,26.1904761904761,28.5012285012285,24.03846154,Poppleton/The Terraces/Hollins Market,20.55137845,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,37.6371308016878,38.3093525179856,37.6371308016878,35.6469580119966,38.8707,41.0089503661513,40.9667194928685,41.2742382271468,46.0334029227557,40.0243309,Sandtown-Winchester/Harlem Park,49.67672414,23672092.8682861,20987.1433066354
48,South Baltimore,37.5994215473608,35.8803986710963,37.5994215473608,28.3118405627198,30.2128,23.8648947951274,20.0988467874794,21.311475409836,20.9329446064139,19.03642773,South Baltimore,18.77934272,46353935.4255981,68440.02582664
49,Southeastern,42.3366834170854,41.0757946210269,42.3366834170854,40.5660377358491,44.4145,53.6273115220484,50.9272467902996,50.2170767004341,55.1459293394777,50.40518639,Southeastern,22.08333333,111251478.472229,102291.480547698
50,Southern Park Heights,41.8236623963828,47.4051123160341,41.8236623963828,42.6200873362445,44.2248,46.2526766595289,49.1304347826087,41.6772554002541,58.8321167883211,47.12041885,Southern Park Heights,41.11245466,27876227.5908203,24052.221372193
51,Southwest Baltimore,41.9437340153453,41.5867480383609,41.9437340153453,31.6782522343595,30.6481,31.3518696069032,30.7692307692308,37.7224199288256,29.7766749379652,32.37139272,Southwest Baltimore,35.71428571,37766068.8365479,28355.563581391
52,The Waverlies,37.8999179655455,39.7238017871649,37.8999179655455,36.5304420350292,33.8694,36.9070208728653,32.7433628318584,32.6864147088866,33.6713995943204,30.32714412,The Waverlies,29.11917098,20383750.5437012,18733.826879757
53,Upton/Druid Heights,49.1228070175439,37.6693766937669,49.1228070175439,31.8658280922432,32.9832,25.7142857142857,25.8715596330275,21.9600725952813,17.7700348432055,11.64725458,Upton/Druid Heights,43.49489796,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,41.946697566628,46.4454976303318,41.946697566628,37.5908618899273,38.5475,37.3348017621145,38.8636363636364,38.2746051032806,25.8741258741258,25.58139535,Pigtown/Carroll Park,24.94824017,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,39.355581127733,41.0596026490066,39.355581127733,45.5808080808081,47.2991,44.3488943488943,45.25,45.4417952314165,38.0029806259314,40.85850556,Westport/Mount Winans/Lakeland,43.53448276,45494092.9501953,42573.1244161851
